#|season|week|title|OT A|PS A|NT A|GS A|OT B|PS B|NT B|GS B|OT C|PS C|NT C|GS C|
epiphany|7|The Seventh Sunday of Epiphany|Lev 19:1-2,9-18|Ps 71 or Ps 71:12-24|1 Cor 3:10-23|Mt 5:38-48|Isaiah 43:18-25|Ps 32|2 Cor 1:18-22|Mk 2:1-12|Gen 45:3-11,21-28|Ps 37:(1-7)8-17|1 Cor 15:35-49|Lk 6:27-38
epiphany|8|The Second to Last Sunday after Epiphany [World Mission]|Isaiah 49:1-7|Ps 67|Acts 1:1-8|Matthew 9:35-38|Gen 12:1-3|Ps 86:8-13|Rev 7:9-17|Mt 28:16-20|Isaiah 61:1-4|Ps 96|Rom 10:9-17|Jn 20:19-31
epiphany|9|The Last Sunday after Epiphany [Transfiguration]|Ex 24:12-18|Ps 99|Phil 3:7-14|Mt 17:1-9|1 Kings 19:9-18|Ps 27|2 Pet 1:13-21|Mk 9:2-9|Ex 34:29-35|Ps 99|1 Cor 12:27-13:13|Lk 9:28-36
ashWednesday|1|Ash Wednesday|Joel 2:1-2, 12-17|Ps 103 or Ps 103:8-14|2 Cor 5:20-6:10|Mt 6:1-6, 16-18(19-21)|Joel 2:1-2, 12-17|Ps 103 or Ps 103:8-14|2 Cor 5:20-6:10|Mt 6:1-6, 16-18(19-21)|Joel 2:1-2, 12-17|Ps 103 or Ps 103:8-14|2 Cor 5:20-6:10|Mt 6:1-6, 16-18(19-21)
lent|1|The First Sunday in Lent|Gen 2:4-9, 15-17, 25-3:7|Ps 51 or Ps 51:1-13|Rom 5:12-19(21-22)|Mt 4:1-11|Gen 9:8-17|Ps 25 or Ps 25:3-9|1 Pet 3:18-22|Mk 1:9-13|Deut 26:(1-4),5-11|Ps 91 or Ps 91:9-16|Rom 10:4-13|Lk 4:1-13 
lent|2|The Second Sunday in Lent|Gen 12:1-9|Ps 33:12-22|Rom 4:1-5(6-12)13-17|Jn 3:1-16|Gen 22:1-14|Ps 16 or Ps 16:5-11|Rom 8:31-39|Mk 8:31-38|Gen 15: 1-12, 17-18|Ps 27 or Ps 27:10-18|Phil 3:17-4:1|Lk 13:(22-30)31-35
lent|3|The Third Sunday in Lent|Ex 17:1-7|Ps 95|Rom 1:16-32|Jn 4:5-26(27-38)39-42|Ex 20:1-21|Ps 19:7-14|Rom 7:12-25|Jn 2:13-22|Ex 3:1-15|Ps 103 or Ps 103:1-12|1 Cor 10:1-13|Lk 13:1-9
lent|4|The Fourth Sunday in Lent|1 Sam 16:1-13|Ps 23|Eph 5:1-14|Jn 9:1-13, 28-38(39-41)|2 Chr 36:14-23|Ps 122|Eph 2:4-10|Jn 6:1-15|Josh (4:19-24)5:1(2-8)9-12|Ps 34 or Ps 34:1-8|2 Cor 5:17-21|Lk 15:11-32
lent|5|The Fifth Sunday in Lent|Ezek 37:1-14|Ps 130|Rom 6:15-23|Jn 11:(1-17)18-44|Jer 31:31-34|Ps 51 or Ps 51:11-16|Heb 4:(14-16)5:1-10|Jn 12:20-33(34-36)|Isaiah 43:16-21|Ps 126|Phil 3:7-16|Lk 20:9-19
#|PalmSundayPalms|1|Palm Sunday: Liturgy of the Palms|Mt 21:1-11|Ps 118:19-29|Mk 11:1-11a|Ps 118:19-29|Lk 19:29-40|Ps 118:19-29
