#| Week of 1 advent
advent|3|2|sunday|Sunday|63:1-8(9-11), 98|103|Amos 9:11-15|2 Thess. 2:1-3,13-17|John 5:30-47
advent|3|2|monday|Monday|41, 52|44|Zech. 1:7-17|Rev. 3:7-13|Matt. 24:15-31
advent|3|2|tuesday|Tuesday|45|47, 48|Zech. 2:1-13|Rev. 3:14-22|Matt. 24:32-44
advent|3|2|wednesday|Wednesday|119:49-72|49, [53]|Zech. 3:1-10|Rev. 4:1-8|Matt. 24:45-51
advent|3|2|thursday|Thursday|50|[59, 60] or 33|Zech. 4:1-14|Rev. 4:9—5:5|Matt. 25:1-13
advent|3|2|friday|Friday|40, 54|51|Zech. 7:8—8:8|Rev. 5:6-14|Matt. 25:14-30
advent|3|2|saturday|Saturday|55|138, 139:1-17(18-23)|Zech. 8:9-17|Rev. 6:1-17|Matt. 25:31-46
#| Week of 4 advent
advent|4|2|sunday|Sunday|24, 29|8, 84|Gen 3:18-15|Rev. 12:1-10|John 3:16-21
advent|4|2|monday|Monday|61, 62|112, 115|Zeph. 3:14-20|Titus 1:1-16|Luke 1:1-25
advent|4|2|tuesday|Tuesday|66, 67|116, 117|1 Samuel 2:1b-10|Titus 2:1-10|Luke 1:26-38
advent|4|2|wednesday|Wednesday|72|111, 113|2 Samuel 7:1-17|Titus 2:11—3:8a|Luke 1:39-48a(48b-56)
advent|4|2|thursday|Thursday|80|146, 147|2 Samuel 7:18-29|Gal. 3:1-14|Luke 1:57-66
advent|4|2|friday|Friday|93, 96|148, 150|Baruch 4:21-29|Gal. 3:15-22|Luke 1:67-80|or|Matt. 1:1-17
advent|4|2|special|Dec 24|45, 46||Baruch 4:36—5:9|Gal. 3:23—4:7|Matt. 1:18-25
christmas|1|2|special|Christmas Eve||89:1-29|Isa. 59:15b-21|Phil. 2:5-11|
#| 940 Daily Office Year One
#| christmas Day and Following
christmas|1|1|special|Christmas Day|2, 85|110:1-5(6-7), 132|Zech. 2:10-13|1 John 4:7-16|John 3:31-26
christmas|1|1|sunday|Sunday|93, 96|34|Isa. 62:6-7, 10-12|Heb. 2:10-18|Matt. 1:18-25
christmas|1|1|special|Dec 29|18:1-20|18:21-50*|Isa. 12:1-6|Rev. 1:1-8|John 7:37-52
christmas|1|1|special|Dec 30|20, 21:1-7(8-14)|23, 27|Isa. 25:1-9|Rev. 1:9-20|John 7:53—8:11
christmas|1|1|special|Dec 31|46, 48||Isa. 26:1-9|2 Cor. 5:16—6:2|John 8:12-19
christmas|1|1|special|Eve of Holy Name||90|Isa. 65:15b-25|Rev. 21:1-6|
christmas|1|1|special|Holy Name|103|148|Gen. 17:1-12a, 15-16|Col. 2:6-12|John 16:23b-30
christmas|2|1|sunday|Sunday|66, 67|145|Ecclus. 3:3-9, 14-17|1 John 2:12-17|John 6:41-47
christmas|2|1|special|Jan 2|34|33|Gen. 12:1-7|Heb. 11:1-12|John 6:35-42, 48-51
christmas|2|1|special|Jan 3|68|72**|Gen. 28:10-22|Heb. 11:13-22|John 10:7-17
christmas|2|1|special|Jan 4|85, 87|89:1-29 **|Exod. 3:1-12|Heb. 11:23-31|John 14:6-14
christmas|2|1|special|Jan 5|2, 110:1-5(6-7)||Joshua 1:1-9|Heb. 11:32—12:2|John 15:1-16
christmas|2|1|special|Eve of Epiphany||29, 98|Isa. 66:18-23|Rom. 15:7-13|
#| * If today is Saturday Saturday|use Psalms 23 and 27 at Evening Prayer.
#| ** If today is Saturday Saturday use Psalm 136 at Evening Prayer.
#| Daily Office Year Two 941
#| christmas Day and Following
christmas|1|2|special|Christmas Day|2, 85|110:1-5(6-7), 132|Micah 4:1-5,5:2-4|1 John 4:7-16|John 3:31-26
christmas|1|2|sunday|Sunday|93, 96|34|1 Samuel 1:1-2,7b-28|Col. 1:9-20|Luke 2:22-40
christmas|1|2|special|Dec 29|18:1-20|18:21-50*|2 Samuel 23:13-17b 2|John 1-13|John 2:1-11
christmas|1|2|special|Dec 30|20, 21:1-7(8-14)|23, 27|1|Kings 17:17-24|3 John 1-15|John 4:46-54
christmas|1|2|special|Dec 31|46, 48||1|Kings 3:5-14|James 4:13-17; 5:7-11|John 5:1-15
christmas|1|2|special|Eve of Holy Name||90|Isa. 65:15b-25|Rev. 21:1-6|
christmas|1|2|special|Holy Name|103|148|Isa. 62:1-5,10-12|Rev. 19:11-16|Matt. 1:18-25
christmas|2|2|sunday|Sunday|66, 67|145|Wisdom 7:3-14|Col. 3:12-17|John 6:41-47
