#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
epiphany|1|Sunday|First Sunday of Epiphany|Isa 42:1-12|John 4:1-26 (27-42)|Isa 61|Matt 2
epiphany|1|Monday|Monday|Mic 4:1―5:1|Matt 9:1-17|Mic 5:2-end|Gal 1
epiphany|1|Tuesday|Tuesday|Mic 6|Matt 9:18-34|Mic 7|Gal 2
epiphany|1|Wednesday|Wednesday|Hos 1|Matt 9:35―10.:3|Hos 2:1-13|Gal 3
epiphany|1|Thursday|Thursday|Hos 2:14―3 end|Matt 10:24-end|Hos 4:1-11 (12-19)|Gal 4:1―5:1
epiphany|1|Friday|Friday|Hos 5:(1-7) 8―6:6 (7-11)|Matt 11|Hos (7) 8|Gal 5:2-end
epiphany|1|Saturday|Saturday|Hos 9|Matt 12:1-21|Hos 10|Gal 6
epiphany|2|Sunday|Second Sunday of Epiphany|Amos 3|John 6:22-40|Isa 44:6-23|Mark 1:35-end
epiphany|2|Monday|Monday|Hos 11|Matt 12:22-end|Hos 12|1 Cor 1:1-25
epiphany|2|Tuesday|Tuesday|Hos 13:1-14 (15-16)|Matt 13:1-23|Hos 14|1 Cor 1:26―2 end
epiphany|2|Wednesday|Wednesday|Zeph 1|Matt 13:24-43|Zeph 2|1 Cor 3
epiphany|2|Thursday|Thursday|Zeph 3|Matt 13:44-end|Nahum 1|1 Cor 4:1-17
epiphany|2|Friday|Friday|Nahum 2|Matt 14|Nahum 3|1 Cor 4:18―5 end
epiphany|2|Saturday|Saturday|Hab 1|Matt 15:1-28|Hab 2|1 Cor 6
epiphany|3|Sunday|Third Sunday of Epiphany|Amos 5:6-24|John 6:41-end|Isa 46:3-end|Mark 7:24-end
epiphany|3|Monday|Monday|Hab 3|1 Cor 7|Mal 1|1 Cor 8
epiphany|3|Tuesday|Tuesday|Mal 2:1-16|1 Cor 9|Mal 2:17―3.:2|1 Cor 10:1―11:1
epiphany|3|Wednesday|Wednesday|Mal 3:13-4 end|1 Cor 11:2-end|Obadiah|1 Cor 12:1-27
epiphany|3|Thursday|Thursday|Joel 1|1 Cor 12:27―13 end|Joel 2:1-14|1 Cor 14:1-19
epiphany|3|Friday|Friday|Joel 2:15-end|1 Cor 14:20-end|Joel 3|1 Cor 15:1-34
epiphany|3|Saturday|Saturday|Jonah 1 & 2|1 Cor 15:35-end|Jonah 3 & 4|1 Cor 16
epiphany|4|Sunday|Fourth Sunday of Epiphany|Amos 7|John 7:53―8.:1|Isa 54:1-14|Luke 13:1-17
epiphany|4|Monday|Monday|Jer 1:(1-10) 11-end|2 Cor 1:1―2.:1|Jer 2:1-13 (2.14―3.25)|2 Cor 2 12―3 end
epiphany|4|Tuesday|Tuesday|Jer 4:1-18 (19-31)|2 Cor 4|Jer 5:1-19|2 Cor 5
epiphany|4|Wednesday|Wednesday|Jer 5:20-end|2 Cor 5:20―7:1|Jer 6:1-21 (22-30)|2 Cor 7:2-end
epiphany|4|Thursday|Thursday|Jer 7:1-28 (29-34)|2 Cor 8|Jer 8|2 Cor 9
epiphany|4|Friday|Friday|Jer 9:1-24 (9.25―10.25)|2 Cor 10|Jer 11 (12)|2 Cor 11
epiphany|4|Saturday|Saturday|Jer (13) 14|2 Cor 12:1-13|Jer 15 (16)|2 Cor 12:14―13 end
epiphany|5|Sunday|Fifth Sunday of Epiphany|Amos 8:4-end|John 7:14-36|Isa 60|Mark 2:1-12
epiphany|5|Monday|Monday|Jer 17:1-18|Acts 15:1-29|Jer 17:19-end|Acts 15:30―16:5
epiphany|5|Tuesday|Tuesday|Jer 18:1-17 (18-23)|Acts 16:6-end|Jer 20|Acts 17:1-15
epiphany|5|Wednesday|Wednesday|Jer 23:9-32 (33-40)|Acts 17:16-end|Jer 30:1-22 (23-24)|Acts 18:1-23
epiphany|5|Thursday|Thursday|Jer 31:1-20 (21-22)|Acts 18:24―19:7|Jer 31:23-end|Acts 19:8-20
epiphany|5|Friday|Friday|Jer 33:1-13|Acts 19:21-end|Jer 33:14-end|Acts 20:1-16
epiphany|5|Saturday|Saturday|Jer 35:1-11|Acts 20:17-end|Jer 35:12-end|Acts 21:1-16
epiphany|6|Sunday|Sixth Sunday of Epiphany|Amos 9:5-end|John 7:37-52|Isa 64|Luke 7:1-10
epiphany|6|Monday|Monday|Tobit 4:5-19|Acts 21:17-36|Tobit 13|Acts 21:37―22.:2
epiphany|6|Tuesday|Tuesday|Baruch 1:15―2.:0|Acts 22:23―23.:1|Baruch 2:11-end|Acts 23:12-end
epiphany|6|W|W,|Baruch 3:1-9|Acts 24:1-23|Baruch 3:9-end|Acts 24:24―25.:2
epiphany|6|Thursday|Thursday|Baruch 4:21-30|Acts 25:13-end|Baruch 4:36―5 end|Acts 26
epiphany|6|Friday|Friday|2 Macc 4:7-17|Acts 27:1-26|2 Macc 6:12-end|Acts 27:27-end
epiphany|6|Saturday|Saturday|2 Macc 7:1-19|Acts 28:1-15|2 Macc 7:20-41|Acts 28:16-end
epiphany|7|Sunday|Seventh Sunday of Epiphany|Gen 1:1―2:3|John 1:1-18|Gen 2:4-end|Mark 10:1-16
